END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
13,Сонгон шалгаруулалтаар Орхон Баян-Өндөр Баянцагаан багийн 24-р цэцэрлэгийн эрхлэгчээр томилогдсон.,дэвшин ажиллахаар
13,Сонгон шалгаруулалтаар тэнцэж Өлзийт сумын цэцэрлэгийн эрхлэгчийн  албан тушаалд томилогдсон,дэвшин ажиллахаар
13,Сонгон шалгаруулалтаар улаангом сумын цогцолбор 1-р сургуульд захирал болсон тул,дэвшин ажиллахаар
13,Сонгон шалгаруулалтаар эрхлэгчийн албан тушаалд томилогдсон,дэвшин ажиллахаар
11,Сонгуулийн үр дүн,өөрийн хүсэлтээр
11,Сонгууль,өөрийн хүсэлтээр
13,Соёлын төвийн эрхлэгчээр,дэвшин ажиллахаар
13,Соёлын төвийн эрхлэгчээр ажиллах болсон,дэвшин ажиллахаар
13,Соёлын төвийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
9,Сувиллын яслид сувилагч багшаар,нутаг дотроо шилжин ажиллахаар болсон
9,Сум 8000 дээш хүн амтай учир санхүүгийн алба байхаа больж нягтлангууд байгууллагаруугаа буцсан,нутаг дотроо шилжин ажиллахаар болсон
9,Сум татан буугдаж шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
11,Сум татан буугдсан,өөрийн хүсэлтээр
14,Сумаас аймагт шилжиж ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
13,Сумын ЗДТГ-ын даргаар томилогдсон,дэвшин ажиллахаар
13,Сумын засаг даргаар томилогдсон,дэвшин ажиллахаар
13,Сумын соёлын төвийн эрхлэгчээр ажиллах болсон,дэвшин ажиллахаар
11,Суралцагчдын элсэлтийн тоо багассанаар багшийн заах хичээлийн цагийн хүрэлцээ багассан.,өөрийн хүсэлтээр
13,Сургалтын менежер болсон,дэвшин ажиллахаар
9,Сургалтын өөр байгууллагад шилжин ажилласан.,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуулийн бага ангийн багшийн ажилд шилжсэн.,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуулийн эмчээр ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
11,Сургууль татан буугдсан,өөрийн хүсэлтээр
6,Сургууль төгссөн,мэргэжил дээшлүүлэхээр
11,Сургууль хуваагдсан.,өөрийн хүсэлтээр
9,Сургуульд  суралцан багшаар ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуульд ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуульд багшаар ажилласан,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуульд багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуульд багшлах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сургуульд байрын багш болсон,нутаг дотроо шилжин ажиллахаар болсон
6,Сургуульд сурах,мэргэжил дээшлүүлэхээр
9,Сургуульд хөгжмийн багшийн орон тоо,нутаг дотроо шилжин ажиллахаар болсон
9,Сусын ИТХ-н даргаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэгдсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллаж байгаа,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажилласан,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллах,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллах тушаалаар чөлөөлөгдсөн.,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллахаар болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллуулах,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллуулах журамын дагуу,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллуулахаар,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажиллуулсан,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэн ажилуулах,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгэх шилжилт хөдөлгөөн,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгээ,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлгээгээр өөр цэцэрлэгт шилжүүлсэн.,нутаг дотроо шилжин ажиллахаар болсон
9,Сэлэнгэ аймгийн НДХ-д хувиаараа төлөлт хийсэн. Хувиараа япон хэл заасан төлбөрөөрөө,нутаг дотроо шилжин ажиллахаар болсон
1,Сэлэнгэ сумын захирлаар томилогдсон,тэтгэвэрт гарсан
9,Сүхбаатар  аймгийн 7-р  цэцэрлэг  рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
8,Сүхбаатар Баруун-Урт 4-р БДС биеийн тамирын багш,хөдөө орон нутаг руу шилжин ажиллахаар болсон
5,Сүхбаатар сум руу ар гэр нь нүүсэн.,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
8,Сүхбаатар сумын III 8-н жилийн сургуульд шилжсэн.,хөдөө орон нутаг руу шилжин ажиллахаар болсон
9,СӨБ-ын байгууллага бие даан ажиллах болмон,нутаг дотроо шилжин ажиллахаар болсон
9,СӨБСийн  сургууль төгсөж мэргэжлээрээ ажиллах болсон.,нутаг дотроо шилжин ажиллахаар болсон
9,ТМС төгссөн тул аймгийн ХАА-н удирдах газар шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
9,ТУС СУМЫН ЦЭЦЭРЛЭГТ АЖИЛЛАХ,нутаг дотроо шилжин ажиллахаар болсон
13,"Тамгын газрын нягтлан бодогч болсон
",дэвшин ажиллахаар
9,Тамгын газрын нягтлангаас чөлөөлж ЕБС-д нягтлан болгож өөрчилсөн,нутаг дотроо шилжин ажиллахаар болсон
8,Тарагт сумын ЕБС-ийн Нярав болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Тарни бага сургуульд багш дутагдалтай,хөдөө орон нутаг руу шилжин ажиллахаар болсон
4,Татан буугдсан,халагдсан
9,Тахарын албанд шилжин томилогдсон,нутаг дотроо шилжин ажиллахаар болсон
9,Техник комм,нутаг дотроо шилжин ажиллахаар болсон
0,Томилгоогоор шинэ зам нэгдэлд шилжсэн,ажиллаж байгаа
0,Томилолт,ажиллаж байгаа
0,Томилолтоор,ажиллаж байгаа
8,Тонхил сумд багшаар,хөдөө орон нутаг руу шилжин ажиллахаар болсон
9,Тус цэцэрлэг нь дахин төлөвлөлтөнд үрж шинээр баригдаж байгаа тул 157-р цэцэрлэгт түр ажилуулахаар шилжүүлэв.,нутаг дотроо шилжин ажиллахаар болсон
9,Тус цэцэрлэг нь дахин төлөлвлөлтөнд орж шинээр баригдаж байгаа тул 157-р цэцэрлэгт түр ажилуулхаар шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
9,"Тухайн байгууллага нь ""Чандмань Илч"" төрийн өмчит ХК-д шилжсэн",нутаг дотроо шилжин ажиллахаар болсон
9,Тухайн байгууллага нь Хэнтий аймгийн Бор-Өндөр УБҮ-ийн харьяанд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
11,Тухайн байгууллага татан буугдсан,өөрийн хүсэлтээр
13,Тухайн сумын засаг даргын тамгын газарт дэвшиж ажиллахаар болсон,дэвшин ажиллахаар
11,Тухайн цэцэрлэг татан буугдсан,өөрийн хүсэлтээр
13,Тушаал дэвшиж ЧД 103-р цэцэрлэгт эрхлэгчээр орсон,дэвшин ажиллахаар
13,Тушаал дэвшиж бүлгийн багшаар ажилласан,дэвшин ажиллахаар
13,Тушаал дэвшин шилжсэн,дэвшин ажиллахаар
13,Тушаал дэвшсэн,дэвшин ажиллахаар
13,Тушаал дэвшсэн.,дэвшин ажиллахаар
1,Тэтгэвэрт гарсан,тэтгэвэрт гарсан
10,Түр,хүний оронд түр ажиллаж байсан
10,Түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
10,Түр ажилласан,хүний оронд түр ажиллаж байсан
10,Түр ажилуулхаар үилжүүлэв,хүний оронд түр ажиллаж байсан
10,Түр ажлын байр,хүний оронд түр ажиллаж байсан
10,Түр албан тушаалд ажиллаж байсан.,хүний оронд түр ажиллаж байсан
10,Түр орон дээр ажиллаж байсан.,хүний оронд түр ажиллаж байсан
10,Түр орон тоо,хүний оронд түр ажиллаж байсан
10,Түр орон тоон дээр ажиллаж байсан,хүний оронд түр ажиллаж байсан
10,Түр орон тоон дээр ажиллаж байсан.,хүний оронд түр ажиллаж байсан
10,Түр орон тоон дээр ажтллаж байсан.,хүний оронд түр ажиллаж байсан
10,Түр орон тоонд ажиллаж байсан,хүний оронд түр ажиллаж байсан
10,Түр орон тоонд ажиллаж байсан тул хүүхдийн 5-р цэцэрлэгт орон тооны багшаар шилжив.,хүний оронд түр ажиллаж байсан
10,Түр орон тоонд ажилласан,хүний оронд түр ажиллаж байсан
10,Түр орон тоонд байсан,хүний оронд түр ажиллаж байсан
10,Түр хугацаагаар ажиллаж байсан,хүний оронд түр ажиллаж байсан
8,Төв Зуунмод сумруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Төв Зуунмод сумын Бумбардай цэцэрлэгт багшаар ажиллахаар болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
13,Төв аймгийн БСУГ-ын мэргэжилтнээр ажиллах болсон,дэвшин ажиллахаар
5,Төв аймгийн Бүрэн суманд гэр бүлээрээ багшлах болсон шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
8,Төв аймгийн Зуунмод сумын цэцэрлэгт ажиллахаар болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Төв аймгийн Өндөрширээт сум руу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Төв орон нутагт шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
13,"Төв, Зуунмод Ирээдүй цогцолбор цэцэрлэгийн эрхлэгчийн албан тушаалын сонгон шалгаруулалтад тэнцэж, томилогдох болсон шалтгаанаар",дэвшин ажиллахаар
14,Төвийн сургуульд шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Төвийн цэцэрлэгт орсон.,хот суурин газар руу шилжин ажиллахаар болсон
13,Төмөр замын цэцэрлэгт арга зүйч болсон,дэвшин ажиллахаар
9,Төрийн албанд орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн албаны сонгон шалгаруулалтанд тэнцсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн албаны шалгалт өгч ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн байгууллагад ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
11,Төрийн байгууллагад ажиллах хүсэл гаргасан,өөрийн хүсэлтээр
9,Төрийн байгууллагад ажиллахаар шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн байгууллагад орох болсон,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн байгууллагад орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн байгууллагад шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн байгууллагт орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн өмчийн цэцэрлэгт орсон,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн өөр байгуулагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн өөр байгууллага руу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн өөр байгууллагад,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн өөр байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,Төрийн өөр байгууллагат 21-р цэцэрлэгт орсон,нутаг дотроо шилжин ажиллахаар болсон
12,Төрсөн.,жирэмсний амралт
15,Төслийн хугацаа дуссан. МАД2 төсөл,гэрээний хугацаа дууссан
9,УБ 72-р сургууль,нутаг дотроо шилжин ажиллахаар болсон
14,УБ хот руу амьдрах болсон,хот суурин газар руу шилжин ажиллахаар болсон
14,УБ хот руу шилжихээр явсан.,хот суурин газар руу шилжин ажиллахаар болсон
14,УБ хот руу шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,"УБ, Сонгино хайрхан дүүргийн 122-р ахлах сургууль руу шилжсэн",хот суурин газар руу шилжин ажиллахаар болсон
8,УБЭҮ-ийн харьяанаас гарч аймаг орон нутгийн харьяанд шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
4,УБҮ -ийн цэцэрлэгүүд татан буугдсан. Төрд шилжсэн.,халагдсан
5,Уб хотруу гэр бүлийн хүн шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
8,Увс аймгийн Хүний эрхийн хорооны бичиг хэргийн ажилтнаар ажиллах болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
14,Удаанбаатар хот шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Удирдлагын академид суралцаж байсан тул Улаанбаатар хотын сургуульд шилжин ажилласан.,хот суурин газар руу шилжин ажиллахаар болсон
14,Улаанбаатар нүүсэн,хот суурин газар руу шилжин ажиллахаар болсон
5,Улаанбаатар хот гэр бүлээрээ шилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
14,Улаанбаатар хот руу  нүүсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Улаанбаатар хот руу шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Улаанбаатар хотод шилжсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Улаанбаатар хотруу шилжин ирэв,хот суурин газар руу шилжин ажиллахаар болсон
14,Улаанбаатар шилжилт хөдөлгөөн,хот суурин газар руу шилжин ажиллахаар болсон
14,Улаанбаатар шилжсэн.,хот суурин газар руу шилжин ажиллахаар болсон
13,Улиастай 3дугаар цэцэрлэгийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
13,Улиастайн 9дүгээр цэцэрлэгийн эрхлэгчээр сонгон шалгаруулалтаар  томилогдсон,дэвшин ажиллахаар
11,Улсын байгууллагад ажиллах болсон өөрийн хүсэлтээр,өөрийн хүсэлтээр
