END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
9,ЕБ 127 сургуульд багшаар орох,нутаг дотроо шилжин ажиллахаар болсон
9,ЕБ-ын 6-р сургуульруу шилжсэн.,нутаг дотроо шилжин ажиллахаар болсон
9,ЕБС - д Биеийн тамирын багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,ЕБС-д Хөгжмийн багшаар ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
9,ЕБС-д багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
9,ЕБС-д орсон,нутаг дотроо шилжин ажиллахаар болсон
13,ЕБС-ийн сургуулийн нягтлан бодогчоор томилогдсон,дэвшин ажиллахаар
9,ЕБС-насан туршийн багшаар,нутаг дотроо шилжин ажиллахаар болсон
9,ЕБСургжжльд багшлахаар,нутаг дотроо шилжин ажиллахаар болсон
13,Ерөнхий Боловсролын сургуулийн нягтлан бодогчоор томилогдон шилжсэн,дэвшин ажиллахаар
9,Ерөнхий боловсролын сургуульд багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
8,Жавхлант ЕБС-д жижүүрээр ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Жавхлант сумын Ерөнхий боловсролд жижүүрээр ацилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Жаргалант сумын цэцэрлэгийн эрхлэгчээр томилогдсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Жаргалтхаан сум шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
8,Жаргалтхаан суманд шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
12,"Жирэмсний амралт аваад, тухайн байгууллага бүтцийн өөрчлөлт орсон",жирэмсний амралт
10,Жирэмсний амралттай багш ажилдаа эргэж орсон,хүний оронд түр ажиллаж байсан
10,Жирэмсний амралттай багшийн орон тоон дээр ажиллаж байсан,хүний оронд түр ажиллаж байсан
